"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:53:04,8034888","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2633","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2633"
"16:53:04,8035227","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8036793","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8037543","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2634","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2634"
"16:53:04,8037891","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8039455","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8040202","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2635","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2635"
"16:53:04,8040540","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8042102","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8042848","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2636","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2636"
"16:53:04,8043184","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8044736","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8045481","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2637","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2637"
"16:53:04,8045817","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8047373","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8048115","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2638","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2638"
"16:53:04,8048451","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8050001","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8050744","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2639","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2639"
"16:53:04,8051080","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8052628","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8053366","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2640","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2640"
"16:53:04,8053702","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8055251","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8055985","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2641","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2641"
"16:53:04,8056323","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8057876","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
